;Цезарь;;;;Тит Ливий;;;
a;100%;0%;22;0;100%;0%;301;0
e;100%;0%;42;0;100%;0%;149;0
i;100%;0%;23;0;99%;1%;194;1
o;100%;0%;63;0;100%;0%;99;0
u;100%;0%;10;0;100%;0%;95;0
